"No.","Time","Source","Destination","Protocol","Length","Info","rate"
"4058","3.020620","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4060","3.021055","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4062","3.021790","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4064","3.022555","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4066","3.022990","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4068","3.023725","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4070","3.024500","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4072","3.026458","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4074","3.026902","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4076","3.027429","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4078","3.028004","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4080","3.028448","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4082","3.029210","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4084","3.029785","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4086","3.030247","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4088","3.031009","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4090","3.031766","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4092","3.032323","10.1.1.5","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","9.0"
"4094","3.032758","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4096","3.033562","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4098","3.034345","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4100","3.035119","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4102","3.035875","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4104","3.036319","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4106","3.037063","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4108","3.037838","10.1.1.3","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4110","3.038291","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4112","3.039113","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4114","3.039860","10.1.1.2","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","6.0"
"4116","3.041096","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
"4118","3.041600","10.1.1.4","10.1.1.1","UDP","488","49153  >  discard(9) Len=400","12.0"
